title,decision,year,Authors,rating_score,rating_text,review,confidence_score,confidence_text,academic_age,current_age,total_num_pub,total_num_conference,total_num_informal,total_num_journal,reasoning,sentiment_score,politeness_score
Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,Accept,2017,"['William Lotter', 'Gabriel Kreiman', 'David Cox']","[6, 8, 8]","['Marginally above acceptance threshold', 'Top 50% of accepted papers, clear accept', 'Top 50% of accepted papers, clear accept']","An interesting architecture that accumulates and continuously corrects mistakes as you see more and more of a video sequence. Clarity: The video you generated seems very helpful towards understanding the information flow in your network, it would be nice to link to it from the paper. *Our model with hyperparameters optimized for KITTI underperforms the model of Finn et al. (2016), but outperforms the previous state-of-the-art model by Mathieu et al. (2016).* It is not clear how different are the train and test sequences at the moment, since standard benchmarks do not really exist for video prediction and each author picks his/her favorite. Underperforming Finn et al 206 at the H3.6m Walking videos is a bit disappointing.","['3', '4', '5']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[3, 10, 15]","[6, 16, 21]","[13, 53, 92]","[3, 12, 44]","[9, 32, 35]","[1, 9, 13]","The sentiment score is slightly negative (-20) because while the reviewer acknowledges the architecture as 'interesting' and praises the helpful video, they also express disappointment about underperformance on certain benchmarks. The politeness score is moderately positive (50) as the reviewer uses polite language like 'it would be nice' and avoids harsh criticism, instead offering constructive feedback. The tone is professional and respectful throughout, even when pointing out areas for improvement.",-20,50
Deep Probabilistic Programming,Accept,2017,"['Dustin Tran', 'Matthew D. Hoffman', 'Rif A. Saurous', 'Eugene Brevdo', 'Kevin Murphy', 'David M. Blei']","[5, 8, 7]","['5', 'Top 50% of accepted papers, clear accept', 'Good paper, accept']","The authors propose a new software package for probabilistic programming, taking advantage of recent successful tools used in the deep learning community. The software looks very promising and has the potential to transform the way we work in the probabilistic modelling community, allowing us to perform rapid-prototyping to iterate through ideas quickly. The composability principles are used insightfully, and the extension of inference to HMC for example, going beyond VI inference (which is simple to implement using existing deep learning tools), makes the software even more compelling. However, the most important factor of any PPL is whether it is practical for real-world use cases. This was not demonstrated sufficiently in the submission. There are many example code snippets given in the paper, but most are not evaluated. The Dirichlet process mixture model example (Figure 12) is an important one: do the proposed black-box inference tools really work for this snippet? and will the GAN example (Figure 7) converge when optimised with real data? To convince the community of the practicality of the package it will be necessary to demonstrate these empirically. Currently the only evaluated model is a VAE with various inference techniques, which are not difficult to implement using pure TF. Presentation: * Paper presentation could be improved. For example the authors could use more signalling for what is about to be explained. On page 5 qbeta and qz are used without explanation - the authors could mention that an example will be given thereafter. * I would also suggest to the authors to explain in the preface how the layers are implemented, and how the KL is handled in VI for example. It will be useful to discuss what values are optimised and what values change as inference is performed (even before section 4.4). This was not clear for the majority of the paper. Experiments: * Why is the run time not reported in table 1? * What are the *difficulties around convergence* encountered with the analytical entropies? inference issues become more difficult to diagnose as inference is automated. Are there tools to diagnose these with the provided toolbox? * Did HMC give sensible results in the experiment at the bottom of page 8? only run time is reported. * How difficult is it to get the inference to work (eg HMC) when we don*t have full control over the computational graph structure and sampler? * It would be extremely insightful to give a table comparing the performance (run time, predictive log likelihood, etc) of the various inference tools on more models. * What benchmarks do you intend to use in the Model Zoo? the difficulty with probabilistic modelling is that there are no set benchmarks over which we can evaluate and compare many models. Model zoo is sensible for the Caffe ecosystem because there exist few benchmarks a large portion of the community was working on (ImageNet for example). What datasets would you use to compare the DPMM on for example? Minor comments: * Table 1: I would suggest to compare to Li & Turner with alpha=0.5 (the equivalent of Hellinger distance) as they concluded this value performs best. I*m not sure why alpha=-1 was chosen here. * How do you handle discrete distributions (eg Figure 5)? * x_real is not defined in Figure 7. * I would suggest highlighting M in Figure 8. * Comma instead of period after *rized), In* on page 8. In conclusion I would say that the software developments presented here are quite exciting, and I*m glad the authors are pushing towards practical and accessible *inference for all*. In its current form though I am forced to give the submission itself a score of 5.","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[0, 8, 30, 15]","[5, 13, 35, 20]","[6, 15, 24, 22]","[5, 1, 7, 9]","[1, 4, 0, 0]","[0, 10, 17, 13]","The sentiment score is 50 (slightly positive) because the reviewer expresses enthusiasm about the software's potential and its promising features, but also raises significant concerns about the lack of practical demonstrations and empirical evidence. The review begins positively but becomes more critical as it progresses. The politeness score is 70 (fairly polite) because the reviewer uses respectful language throughout, offers constructive criticism, and provides specific suggestions for improvement. The reviewer acknowledges the exciting aspects of the work while clearly stating areas that need addressing, maintaining a professional and courteous tone throughout the review.",50,70
Deep Variational Bayes Filters: Unsupervised Learning of State Space Models from Raw Data,Accept,2017,"['Maximilian Karl', 'Maximilian Soelch', 'Justin Bayer', 'Patrick van der Smagt']","[6, 7, 6]","['Marginally above acceptance threshold', 'Good paper, accept', 'Marginally above acceptance threshold']","This is mainly a (well-written) toy application paper. It explains SGVB can be applied to state-space models. The main idea is to cast a state-space model as a deterministic temporal transformation, with innovation variables acting as latent variables. The prior over the innovation variables is not a function of time. Approximate inference is performed over these innovation variables, rather the states. This is a solution to a fairly specific problem (e.g. it doesn*t discuss how priors over the beta*s can depend on the past), but an interesting application nonetheless. The ideas could have been explained more compactly and more clearly; the paper dives into specifics fairly quickly, which seems a missed opportunity. My compliments for the amount of detail put in the paper and appendix. The experiments are on toy examples, but show promise. - Section 2.1: “In our notation, one would typically set beta_t = w_t, though other variants are possible” -> It’s probably better to clarify that if F_t and B_t and not in beta_t, they are not given a Bayesian treatment (but e.g. merely optimized). - Section 2.2 last paragraph: “A key contribution is […] forcing the latent space to fit the transition”. This seems rather trivial to achieve. - Eq 9: “This interpretation implies the factorization of the recognition model:..” The factorization is not implied anywhere: i.e. you could in principle use q(beta|x) = q(w|x,v)q(v)","['4', '3', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[5, 2, 9, 28]","[10, 6, 15, 34]","[17, 11, 51, 124]","[7, 6, 25, 58]","[9, 5, 24, 43]","[1, 0, 2, 23]","The sentiment score is slightly positive (20) because while the reviewer acknowledges the paper as 'well-written' and an 'interesting application', they also describe it as a 'toy application paper' with experiments on 'toy examples'. The reviewer offers compliments on the detail provided but suggests the ideas could have been explained more clearly and compactly. The overall tone is mildly positive with constructive criticism. The politeness score is moderately positive (50) as the reviewer uses respectful language throughout, offering compliments and framing criticisms constructively. They use phrases like 'My compliments for...' and provide specific suggestions for improvement without harsh language. The review maintains a professional and courteous tone while still providing honest feedback.",20,50
Deep Variational Information Bottleneck,Accept,2017,"['Alexander A. Alemi', 'Ian Fischer', 'Joshua V. Dillon', 'Kevin Murphy']","[7, 6, 6]","['Good paper, accept', 'Marginally above acceptance threshold', 'Marginally above acceptance threshold']","Update: raised the score, because I think the arguments about adversarial examples are compelling. I think that the paper convincingly proves that this method acts as a decent regularizer, but I*m not convinced that it*s a competitive regularizer. For example, I don*t believe that there is sufficient evidence that it gives a better regularizer than dropout/normalization/etc. I also think that it will be much harder to tune than these other methods (discussed in my rebuttal reply). ---- Summary: If I understand correctly, this paper proposes to take the *bottleneck* term from variational autoencoders which pulls the latent variable towards a noise prior (like N(0,1)) and apply it in a supervised learning context where the reconstruction term log(p(x|z)) is replaced with the usual supervised cross-entropy objective. The argument is that this is an effective regularizer and increases robustness to adversarial attacks. Pros: -The presentation is quite good and the paper is easy to follow. -The idea is reasonable and the relationship to previous work is well described. -The robustness to adversarial examples experiment seems convincing, though I*m not an expert in this area. Is there any way to compare to an external quantitative baseline on robustness to adversarial examples? This would help a lot, since I*m not sure how the method here compares with other regularizers in terms of combatting adversarial examples. For example, if one uses a very high dropout rate, does this confer a comparable robustness to adversarial examples (perhaps at the expense of accuracy)? Cons: -MNIST accuracy results don*t seem very strong, unless I*m missing something. The Maxout paper from ICML 2013 listed many permutation invariant MNIST results with error rates below 1%. So the 1.13% error rate listed here doesn*t necessarily prove that the method is a competitive regularizer. I also suspect that tuning this method to make it work well is harder than other regularizers like dropout. -There are many distinct architectural choices with this method, particularly in how many hidden layers come before and after z. For example, the output could directly follow z, or there could be several layers between z and the output. As far as I can tell the paper says that p(y | z) is a simple logistic regression (i.e. one weight matrix followed by softmax), but it*s not obvious why this choice was made. Did it work best empirically? Other: -I wonder what would happen if you *trained against* the discovered adversarial examples while also using the method from this paper. Would it learn to have a higher variance p(z | x) when presented with an adversarial example?","['4', '4', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[6, 5, 6, 15, 17]","[10, 11, 10, 20, 23]","[5, 113, 4, 20, 625]","[3, 41, 1, 9, 339]","[2, 65, 0, 3, 218]","[0, 7, 3, 8, 68]","The sentiment score is slightly positive (20) because while the reviewer acknowledges some strengths of the paper ('The presentation is quite good', 'The idea is reasonable'), they also express significant reservations ('MNIST accuracy results don't seem very strong', 'I'm not convinced that it's a competitive regularizer'). The overall tone suggests cautious approval with substantial critiques. The politeness score is moderately high (60) as the reviewer uses respectful language throughout, acknowledges positive aspects, and frames criticisms as suggestions or questions rather than direct attacks. Phrases like 'If I understand correctly' and 'unless I'm missing something' show a willingness to consider alternative viewpoints. The reviewer also offers constructive suggestions for improvement, which is a polite way to address weaknesses.",20,60
DeepCoder: Learning to Write Programs,Accept,2017,"['Matej Balog', 'Alexander L. Gaunt', 'Marc Brockschmidt', 'Sebastian Nowozin', 'Daniel Tarlow']","[6, 6]","['Marginally above acceptance threshold', 'Marginally above acceptance threshold']","This is a good paper, well written, that presents a simple but effective approach to predict code properties from input output pairs. The experiments show superiority to the baseline, with speedup factors between one to two orders of magnitude. This is a solid gain! The domain of programs is limited, so there is more work to do in trying such ideas on more difficult tasks. Using neural nets to augment the search is a good starting point and a right approach, instead of generating full complex code. I see this paper as being above the threshold for acceptance.","['4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[3, 2, 8, 11, 12]","[8, 7, 14, 17, 18]","[10, 26, 75, 121, 83]","[4, 13, 41, 69, 46]","[5, 13, 29, 42, 35]","[1, 0, 5, 10, 2]","The sentiment score is 80 (positive) because the reviewer describes the paper as 'good' and 'well written', highlights its effectiveness and superiority to baselines, and explicitly states it's 'above the threshold for acceptance'. The positive tone is consistent throughout, with phrases like 'solid gain' and 'right approach'. The politeness score is 70 (polite) due to the respectful and constructive language used. The reviewer offers praise and acknowledges the paper's strengths without using overly effusive language. They also provide gentle suggestions for future work without being critical. The tone is professional and encouraging throughout.",80,70
DeepDSL: A Compilation-based Domain-Specific Language for Deep Learning,Accept,2017,"['Tian Zhao', 'Xiao Bing Huang', 'Yu Cao']","[7, 6, 8]","['Good paper, accept', 'Marginally above acceptance threshold', 'Top 50% of accepted papers, clear accept']","This paper presents and evaluates a Scala-based deep learning framework called “DeepDSL,” describing the language’s syntactic and performance benefits with respect to existing frameworks. Pros: The use of Scala is unique among deep learning frameworks, to my knowledge, making this framework interesting for Scala users. The fact that Scala compiles to Java and therefore cross-platform support comes for free is also nice. The ability to inspect memory information as shown in Figure 3 is interesting and potentially useful for large networks or situations where memory is limited. DeepDSL compares favorably with existing frameworks in terms of memory use and speed for many common convolutional network architectures. Cons: There appears to be special privileged handling of parameters, gradients, and updates in the compilation process itself (as in Caffe), rather than having gradients/updates as a normal part of the full user-defined computation graph (as in Theano + TensorFlow). This makes certain applications, such as RNNs (which require parameter sharing) and GANs (which require gradients wrt multiple objectives), impossible to implement in DeepDSL without further extension of the underlying API. (Note: I might be wrong about this -- and please correct me if I am -- but all the examples in the paper are nets trained by gradient descent on a single objective, and do not share parameters or access gradients directly.) The paper repeatedly refers to line counts from the verbose Protobuf-based low-level representation of networks in Caffe to demonstrate the compactness of its own syntax. This is misleading as Caffe has officially supported a compact network definition style called “NetSpec” for years -- see a ~15 line definition of AlexNet [1]. Given that, Protobuf is essentially an intermediate representation for Caffe (as with TensorFlow), which happens to have a human-readable text format. DeepDSL is not especially novel when compared with existing frameworks, which is not a problem in and of itself, but some statements misleadingly or incorrectly oversell the novelty of the framework. Some examples: “This separation between network definition and training is an unique advantage of DeepDSL comparing to other tools.” This separation is not unique -- it’s certainly a feature of Caffe where the network definition is its own file, and can be attained in TensorFlow as well (though it’s not the default workflow there). “The difference [between our framework and Theano, TensorFlow, etc.] is that we do not model deep networks as ‘networks’ but as abstract ‘functions’.” There is no notion of a “network” in Theano or TensorFlow (not sure about the others) either -- there are only functions, like in DeepDSL. I asked about this statement, and the response didn’t convince me otherwise. The counterexample given was that in TensorFlow the number of input channels needs to be specified separately for each convolution. This is only true using the low-level API and can easily be worked around with higher-level wrappers like TensorFlow Slim -- e.g., see the definition of AlexNet [2]. It may be true that DeepDSL is more “batteries included” for writing compact network definitions than these other frameworks, but the paper’s claims seem to go beyond this. Overall, the DeepDSL framework seems to have real value in its use of Scala and its memory/speed efficiency as demonstrated by the experiments, but the current version of the paper contains statements that overclaim novelty in ways that are misleading and unfair to existing frameworks. I will consider upgrading my rating if these statements are removed or amended to be more technically precise. [1] https://github.com/BVLC/caffe/blob/master/examples/pycaffe/caffenet.py#L24 [2] https://github.com/tensorflow/tensorflow/blob/master/tensorflow/contrib/slim/python/slim/nets/alexnet.py#L92 ===================== Update: the authors have revised their paper to address the concerns that I considered grounds for rejection in my review. I*ve upgraded my rating from 5 (below threshold) to 7 (good paper, accept).","['4', '4', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[14, 14, 20]","[20, 19, 26]","[66, 11, 233]","[25, 5, 122]","[4, 1, 28]","[37, 5, 83]","The sentiment score is 50 (slightly positive) because the reviewer initially points out both pros and cons of the paper, and ultimately upgrades their rating from 5 to 7, indicating a positive shift. However, they also highlight several criticisms, which prevents the score from being higher. The politeness score is 70 (fairly polite) because the reviewer uses respectful language throughout, acknowledges potential errors in their understanding ('Note: I might be wrong about this -- and please correct me if I am'), and provides specific examples and references to support their points. They also show willingness to reconsider their rating based on the authors' revisions. The tone is professional and constructive, even when pointing out flaws, which contributes to the politeness score.",50,70
Delving into Transferable Adversarial Examples and Black-box Attacks,Accept,2017,"['Yanpei Liu', 'Xinyun Chen', 'Chang Liu', 'Dawn Song']","[6, 7, 5]","['Marginally above acceptance threshold', 'Good paper, accept', '5']","The paper presents an interesting and very detailed study of targeted and non-targeted adversarial examples in CNNs. I’m on the fence about this paper but am leaning towards acceptance. Such detailed empirical explorations are difficult and time-consuming to construct yet can serve as important stepping stones for future work. I see the length of the paper as a strength since it allows for a very in-depth look into the effectiveness and transferability of different kinds of adversarial examples. There are, however, some concerns: 1) While the length of the paper is a strength in my mind, the key contributions should be made much more clear. As evidenced by my comment earlier, I got confused at some point between the ensemble/non-ensemble method, and about the contribution of the Clarifai evaluation and what I should be focusing on where. I’d strongly suggest a radical revision which more clearly focuses the story: - First, we demonstrate that non-targeted attacks are easy while targeted attacks are hard (evidenced by a key experiment comparing the two; we refer to appendix or later sections for the extensive exploration of e.g., current Section 3) - Thus, we propose an ensemble method that is able to handle targeted attacks much better (evidenced by experiments focusing on the comparison between ensemble and non-ensemble method, both in a controlled setting and on Clarifai) - Also, here are all the other details and explorations. 2) Instead of using ResNet-152, Res-Net-101 and ResNet-50 as three of the five models, it would*ve been better to use one ResNet architecture and the other two, say, AlexNet and Network-in-Network. This would make the ensemble results a lot more compelling.","['3', '3', '3']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[34, 8, 10, 19]","[39, 14, 14, 25]","[96, 93, 66, 440]","[11, 43, 40, 254]","[10, 43, 22, 154]","[75, 7, 4, 32]","The sentiment score is 50 (slightly positive) because the reviewer expresses interest in the paper and leans towards acceptance, acknowledging its strengths and potential impact. However, they also raise concerns, which prevents a higher score. The politeness score is 75 (quite polite) as the reviewer uses respectful language, acknowledges the paper's strengths, and frames criticisms constructively. They use phrases like 'I'd strongly suggest' rather than demanding changes, and the overall tone is professional and considerate. The reviewer balances positive feedback with constructive criticism, maintaining a courteous approach throughout.",50,75
Density estimation using Real NVP,Accept,2017,"['Laurent Dinh', 'Jascha Sohl-Dickstein', 'Samy Bengio']","[8, 8, 7]","['Top 50% of accepted papers, clear accept', 'Top 50% of accepted papers, clear accept', 'Good paper, accept']","This paper presents a clever way of training a generative model which allows for exact inference, sampling and log likelihood evaluation. The main idea here is to make the Jacobian that comes when using the change of variables formula (from data to latents) triangular - this makes the determinant easy to calculate and hence learning possible. The paper nicely presents this core idea and a way to achieve this - by choosing special *routings* between the latents and data such that part of the transformation is identity and part some complex function of the input (a deep net, for example) the resulting Jacobian has a tractable structure. This routing can be cascaded to achieve even more complex transformation. On the experimental side, the model is trained on several datasets and the results are quite convincing, both in sample quality and quantitive measures. I would be very happy to see if this model is useful with other types of tasks and if the resulting latent representation help with classification or inference such as image restoration. In summary - the paper is nicely written, results are quite good and the model is interesting - I*m happy to recommend acceptance.","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[5, 9, 31]","[10, 15, 37]","[28, 130, 261]","[14, 52, 155]","[13, 74, 60]","[1, 4, 46]","The sentiment score is 90 because the reviewer expresses strong positive sentiment throughout the review. They describe the paper as presenting a 'clever way' of training a model, praise the 'nicely presents' core idea, and state that the results are 'quite convincing'. The reviewer concludes by saying they are 'happy to recommend acceptance', which is a clear positive endorsement. The politeness score is 80 because the reviewer uses respectful and encouraging language throughout. They acknowledge the authors' work positively without being overly effusive or informal. The reviewer offers constructive suggestions for future work in a polite manner, showing interest in the potential applications of the model. The tone is professional and courteous throughout, maintaining a balance between praise and objective assessment.",90,80
Designing Neural Network Architectures using Reinforcement Learning,Accept,2017,"['Bowen Baker', 'Otkrist Gupta', 'Nikhil Naik', 'Ramesh Raskar']","[6, 6, 6]","['Marginally above acceptance threshold', 'Marginally above acceptance threshold', 'Marginally above acceptance threshold']","This paper introduces a reinforcement learning framework for designing a neural network architecture. For each time-step, the agent picks a new layer type with corresponding layer parameters (e.g., #filters). In order to reduce the size of state-action space, they used a small set of design choices. Strengths: - A novel approach for automatic design of neural network architectures. - Shows quite promising results on several datasets (MNIST, CIFAR-10). Weakness: - Limited architecture design choices due to many prior assumptions (e.g., a set of possible number of convolution filters, at most 2 fully-connected layers, maximum depth, hard-coded dropout, etc.) - The method is demonstrated in tabular Q-learning setting, but it is unclear whether the proposed method would work in a large state-action space. Overall, this is an interesting and novel approach for neural network architecture design, and it seems to be worth publication despite some weaknesses.","['4', '3', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[2, 6, 9, 20]","[8, 11, 15, 26]","[16, 30, 41, 410]","[6, 9, 16, 223]","[9, 16, 20, 98]","[1, 5, 5, 89]","The sentiment score is 60 (positive) because the reviewer acknowledges the paper's novel approach and promising results, stating it 'seems to be worth publication despite some weaknesses.' The overall tone is supportive, with clear recognition of the paper's strengths. However, it's not extremely positive due to the mentioned weaknesses. The politeness score is 50 (slightly polite) because the reviewer uses neutral, professional language throughout. They present both strengths and weaknesses objectively without harsh criticism. The use of phrases like 'interesting and novel approach' and 'quite promising results' adds a polite, encouraging tone. However, the review doesn't go out of its way to be exceptionally polite, maintaining a balanced, professional demeanor.",60,50
Dialogue Learning With Human-in-the-Loop,Accept,2017,"['Jiwei Li', 'Alexander H. Miller', 'Sumit Chopra', ""Marc'Aurelio Ranzato"", 'Jason Weston']","[7, 6, 5]","['Good paper, accept', 'Marginally above acceptance threshold', '5']","As discussed, the there are multiple concurrent contributions in different packages/submission by the authors that are in parts difficult to disentangle. Despite this fact, it is impressive to see a system learning from natural feedback in an online fashion. To the best of my knowledge, this is a new quality of result that was achieved - in particular as close to full supervision results are reached in some cases in this less constraint setting. several points were raised that were in turn addressed by the authors: 1. formalisation of the task (learning dialogue) is not precise. when can we declare success? The answer of the authors is partially satisfying. For this particular work, it might make sense to more precisely set goals e.g. to be as good as full supervision. 2. (along the line of the previous question:) dialogue can be seen as a form of noisy supervision. can you please report the classic supervision baselines for the particular model used? this would give a sense what fraction of the best case performance is achieved via dialogue learning. The authors provided additional information along those lines - and I think this helps to understand how much of the overall goal was achieved and open challenges. 3. is there an understanding of how much more difficult the MT setting is? feedback could be hand labeled as positive or negative for an analysis (?). or a handcrafted baseline could be tested, that either extracts the reward via template matching … or maybe even uses the length of the feedback as a proxy/baseline. (it looks to me that short feedback is highly correlated with high reward / correct answer (?)) The authors replied - but it would have been clearer if they could have quantified such suggested baseline, in order to confirm that there is no simple handcrafted baseline that would do well on the data - but these concerns are marginal. 4. relation to prior work Weston’16 is not fully clear. I understand that this submission should be understood as an independent submission of the prior work Weston’16 - and not replacing it. In this case Weston’16 makes this submission appear more incremental. my understanding is that the punch line of this submission is the online part that leads in turn to more exploration. Is there any analysis on how much this aspect matters? I couldn’t find this in the experiments. The authors clarified the raised issues. The application of reinforcement learning and in particular FP is convincing. There is a incremental nature to the paper - and the impression is emphasised by multiple concurrent contributions of the authors on this research thread. Comparison to prior work (in particular Weston*16), should be made more explicit. Not only in text but also in the experiments - as the authors partially do in their reply to the reviewers question. Nevertheless, this particular contribution is assessed as significant and worth sharing and seems likely to have impact on how we can learn in these less constraint setting.","['4', '3', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[12, 2, 17, 12, 19]","[18, 7, 23, 18, 25]","[87, 24, 44, 106, 237]","[36, 11, 29, 57, 126]","[23, 13, 11, 44, 84]","[28, 0, 4, 5, 27]","The sentiment score is 60 (moderately positive) because the reviewer expresses admiration for the system's ability to learn from natural feedback online, calling it 'impressive' and a 'new quality of result'. They also note that the work is 'significant and worth sharing'. However, they raise several concerns and note the incremental nature of the work, which prevents a higher score. The politeness score is 70 (fairly polite) because the reviewer uses respectful language throughout, acknowledges the authors' responses positively (e.g., 'The authors clarified the raised issues'), and frames criticisms constructively (e.g., 'it would have been clearer if...'). The reviewer also uses phrases like 'to the best of my knowledge' and 'my understanding is', which show humility and openness to correction. The score is not higher because the review maintains a professional tone rather than being overtly friendly or deferential.",60,70
Diet Networks: Thin Parameters for Fat Genomics,Accept,2017,"['Adriana Romero', 'Pierre Luc Carrier', 'Akram Erraqabi', 'Tristan Sylvain', 'Alex Auvolat', 'Etienne Dejoie', 'Marc-André Legault', 'Marie-Pierre Dubé', 'Julie G. Hussin', 'Yoshua Bengio']","[6, 7, 8]","['Marginally above acceptance threshold', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","The paper presents an application of deep learning to genomic SNP data with a comparison of possible approaches for dealing with the very high data dimensionality. The approach looks very interesting but the experiments are too limited to draw firm conclusions about the strengths of different approaches. The presentation would benefit from more precise math. Quality: The basic idea of the paper is interesting and the applied deep learning methodology appears reasonable. The experimental evaluation is rather weak as it only covers a single data set and a very limited number of cross validation folds. Given the significant variation in the performances of all the methods, it seems the differences between the better-performing methods are probably not statistically significant. More comprehensive empirical validation could clearly strengthen the paper. Clarity: The writing is generally good both in terms of the biology and ML, but more mathematical rigour would make it easier to understand precisely what was done. The different architectures are explained on an intuitive level and might benefit from a clear mathematical definition. I was ultimately left unsure of what the *raw end2end* model is - given so few parameters it cannot work on raw 300k dimensional input but I could not figure out what kind of embedding was used. The results in Fig. 3 might be clearer if scaled so that maximum for each class is 1 to avoid confounding from different numbers of subjects in different classes. In the text, please use the standard italics math font for all symbols such as N, N_d, ... Originality: The application and the approach appear quite novel. Significance: There is clearly strong interest for deep learning in the genomics area and the paper seeks to address some of the major bottlenecks here. It is too early to tell whether the specific techniques proposed in the paper will be the ultimate solution, but at the very least the paper provides interesting new ideas for others to work on. Other comments: I think releasing the code as promised would be a must.","['4', '3', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[7, 6, 2, 2, 3, 2, 5, 12, 2, 30]","[12, 10, 7, 8, 9, 2, 11, 17, 2, 36]","[44, 15, 12, 22, 16, 2, 8, 10, 2, 975]","[20, 6, 6, 7, 6, 1, 1, 3, 1, 405]","[21, 6, 6, 14, 7, 1, 3, 2, 1, 454]","[3, 3, 0, 1, 3, 0, 4, 5, 0, 116]","The sentiment score is slightly positive (20) because the reviewer acknowledges the interesting aspects of the paper and its potential significance, but also points out several limitations and areas for improvement. The reviewer sees promise in the approach but feels the experiments are too limited to draw firm conclusions. The politeness score is moderately high (60) as the reviewer uses respectful language throughout, offering constructive criticism and suggestions for improvement without harsh or dismissive comments. The reviewer balances positive remarks with areas of concern, maintaining a professional and courteous tone. The use of phrases like 'The approach looks very interesting' and 'The writing is generally good' contribute to the polite tone, while still clearly communicating the need for improvements in areas such as experimental evaluation and mathematical rigor.",20,60
Discrete Variational Autoencoders,Accept,2017,['Jason Tyler Rolfe'],"[9, 8]","['9', 'Top 50% of accepted papers, clear accept']","This paper presents a way of training deep generative models with discrete hidden variables using the reparameterization trick. It then applies it to a particular DBN-like architecture, and shows that this architecture achieves state-of-the-art density modeling performance on MNIST and similar datasets. The paper is well written, and the exposition is both thorough and precise. There are several appendices which justify various design decisions in detail. I wish more papers in our field would take this degree of care with the exposition! The log-likelihood results are quite strong, especially given that most of the competitive algorithms are based on continuous latent variables. Probably the main thing missing from the experiments is some way to separate out the contributions of the architecture and the inference algorithm. (E.g., what if a comparable architecture is trained with VIMCO, or if the algorithm is applied to a previously published discrete architecture?) I’m a bit concerned about the variance of the gradients in the general formulation of the algorithm. See my comment “variance of the derivatives of F^{-1}” below. I think the response is convincing, but the problem (as well as “engineering principles” for the smoothing distribution) are probably worth pointing out in the paper itself, since the problem seems likely to occur unless the user is aware of it. (E.g., my proposal of widely separated normals would be a natural distribution to consider until one actually works through the gradients — something not commonly done in the age of autodiff frameworks.) Another concern is how many sequential operations are needed for inference in the RBM model. (Note: is this actually an RBM, or a general Boltzmann machine?) The q distribution takes the form of an autoregressive model where the variables are processed one at a time. Section 3 mentions the possibility of grouping together variables in the q distribution, and this is elaborated in detail in Appendix A. But the solution requires decomposing the joint into a product of conditionals and applying the CDFs sequentially. So either way, it seems like we’re stuck handling all the variables sequentially, which might get expensive. Minor: the second paragraph of Section 3 needs a reference to Appendix A.","['4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[-3, 8]","[3, 14]","[5, 202]","[3, 109]","[2, 78]","[0, 15]","The sentiment score is 80 (positive) because the reviewer expresses strong approval of the paper's methodology, writing quality, and results. They use phrases like 'well written', 'thorough and precise', and praise the 'degree of care with the exposition'. The reviewer also notes 'strong' log-likelihood results. While they do raise some concerns, these are presented as areas for improvement rather than major flaws. The politeness score is 90 (very polite) due to the reviewer's consistently respectful and constructive tone. They use phrases like 'I wish more papers in our field would take this degree of care' and offer suggestions in a non-confrontational manner. The reviewer also acknowledges when their concerns are adequately addressed, showing a willingness to engage in productive dialogue.",80,90
