title,cited_by_count
parallel stochastic gradient descent with sound combiners,6
parametric exponential linear unit for deep convolutional neural networks,217
playing snes in the retro learning environment,22
progressive attention networks for visual attribute prediction,41
prototypical networks for few-shot learning,6541
reasonet: learning to stop reading in machine comprehension,316
rectified factor networks for biclustering,0
recurrent inference machines for solving inverse problems,112
recurrent neural networks for multivariate time series with missing values,1714
reference-aware language models,97
regularizing neural networks by penalizing confident output distributions,1001
representation stability as a regularizer for improved text analytics transfer learning,19
rethinking numerical representations for deep neural networks,9
revisiting batch normalization for practical domain adaptation,577
revisiting distributed synchronous sgd,789
riemannian optimization for skip-gram negative sampling,11
sampling generative networks,234
semantic noise modeling for better representation learning,0
semi-supervised detection of extreme weather events in large climate datasets,21
semi-supervised learning with context-conditional generative adversarial networks,170
sentence ordering using recurrent neural networks,25
sequence to sequence transduction with hard monotonic attention,11
simple black-box adversarial perturbations for deep networks,239
softtarget regularization: an effective technique to reduce over-fitting in neural networks,19
structured sequence modeling with graph convolutional recurrent networks,610
surprisal-driven feedback in recurrent networks,12
tartan: accelerating fully-connected and convolutional layers in deep learning networks by exploiting numerical precision variability,17
tensorial mixture models,23
the incredible shrinking neural network: new perspectives on learning representations through the lens of pruning,12
the power of sparsity in convolutional neural networks,145
the predictron: end-to-end learning and planning,271
the preimage of rectifier network activities,8
the loss surface of residual networks: ensembles and the role of batch normalization,15
towards information-seeking agents,8
towards understanding the invertibility of convolutional neural networks,72
training group orthogonal neural networks with privileged information,44
transformation-based models of video sequences,72
transformational sparse coding,2
tree-structured variational autoencoder,3
understanding intermediate layers using linear classifier probes,557
understanding trained cnns by indexing neuron selectivity,41
unsupervised pretraining for sequence to sequence learning,302
vocabulary selection strategies for neural machine translation,36
warped convolutions: efficient invariance to spatial transformations,115
wav2letter: an end-to-end convnet-based speech recognition system,315
what is the best practice for cnns applied to visual instance retrieval?,10
a simple yet effective method to prune dense layers of neural networks,9
a hybrid network: scattering and convnet,7
adjusting for dropout variance in batch normalization and weight initialization,17
an actor-critic algorithm for learning rate learning,1
an analysis of feature regularization for low-shot learning,2
content2vec: specializing joint representations of product images and text for the task of product recommendation,5
cat2vec: learning distributed representation of multi-field categorical data,2
character-aware attention residual network for sentence representation,0
chess game concepts emerge under weak supervision: a case study of tic-tac-toe,0
coarse pruning of convolutional neural networks with random masks,24
collaborative deep embedding via dual networks,0
communicating hierarchical neural controllers for learning zero-shot task generalization,0
convolutional neural networks generalization utilizing the data graph structure,3
deep character-level neural machine translation by learning morphology,3
deep neural networks and the tree of life,2
deeprebirth: a general approach for accelerating deep neural network execution on mobile devices,0
differentiable canonical correlation analysis,0
distributed transfer learning for deep convolutional neural networks by basic probability assignment,0
dynamic steerable frame networks,0
efficient calculation of polynomial features on sparse matrices,0
eigenvalues of the hessian in deep learning: singularity and beyond,126
emergent predication structure in vector representations of neural readers,1
end-to-end answer chunk extraction and ranking for reading comprehension,61
end-to-end learnable histogram filters,37
epitomic variational autoencoders,8
evaluation of defensive methods for dnns against multiple adversarial evasion models,6
exploring the application of deep learning for supervised learning problems,0
filling in the details: perceiving from low fidelity visual input,0
finding a jack-of-all-trades: an examination of semi-supervised learning in reading comprehension,2
group sparse cnns for question sentence classification with answer sets,0
hfh: homologically functional hashing for compressing deep neural networks,0
improved architectures for computer go,0
improving invariance and equivariance properties of convolutional neural networks,7
inefficiency of stochastic gradient descent with larger mini-batches (and more learners),0
inference and introspection in deep generative models of sparse data,4
introducing active learning for cnn under the light of variational inference,0
l-sr1: a second order optimization method for deep learning,3
learning approximate distribution-sensitive data structures,0
learning disentangled representations in deep generative models,3
learning a static analyzer: a case study on a toy language,2
learning to understand: incorporating local contexts with global attention for sentiment classification,2
leveraging asynchronicity in gradient descent for scalable deep learning,0
machine solver for physics word problems,4
making stochastic neural networks from deterministic ones,4
marginal deep architectures: deep learning for small and middle scale applications,1
modelling relational time series using gaussian embeddings,1
multi-label learning with semantic embeddings,0
multi-label learning with the rnns for fashion search,1
multiagent system for layer free network,0
neural causal regularization under the independence of mechanisms assumption,0
new learning approach by genetic algorithm in a convolutional neural network for pattern recognition,0
omg: orthogonal method of grouping with application of k-shot learning,0
prediction of potential human intention using supervised competitive learning,0
representing inferential uncertainty in deep neural networks through sampling,7
revisiting denoising auto-encoders,2
rotation plane doubly orthogonal recurrent neural networks,0
sample importance in training deep neural networks,8
sequence generation with a physiologically plausible model of handwriting and recurrent mixture density networks,3
significance of softmax-based features over metric learning-based features,10
skip-graph: learning graph embeddings with an encoder-decoder model,6
spatio-temporal abstractions in reinforcement learning through neural encoding,2
submodular sum-product networks for scene understanding,0
taming the waves: sine as activation function in deep neural networks,53
ternary weight decomposition and binary activation encoding for fast and compact neural network,3
the variational walkback algorithm,3
training long short-term memory with sparsified stochastic gradient descent,9
trenet: hybrid neural networks for learning the local trend in time series,0
two methods for wild variational inference,26
unsupervised learning using generative adversarial training and clustering,18
unsupervised learning of state representations for multiple tasks,7
b-gan: unified framework of generative adversarial networks,3
energy-based generative adversarial networks,1413
episodic exploration for deep deterministic policies for starcraft micromanagement,171
introspection:accelerating neural network training by learning weight evolution,24
lie-access neural turing machines,19
third person imitation learning,223
divide and conquer with neural networks,72
dyvedeep: dynamic variable effort deep neural networks,5
encoding and decoding representations with sum- and max-product networks,1
fasttext.zip: compressing text classification models,1222
ms marco: a human-generated machine reading comprehension dataset,1181
near-data processing for machine learning,28
neural graph machines: learning neural networks using graphs,109
rl^2: fast reinforcement learning via slow reinforcement learning,915
recurrent coevolutionary feature embedding processes for recommendation,59
learning word-like units from joint audio-visual analylsis,106
squeezenet: alexnet-level accuracy with 50x fewer parameters and <0.5mb model size,7915
