Title,Authors,recommendation
Policy Optimization via Stochastic Recursive Gradient Algorithm,"['Huizhuo Yuan', 'Chris Junchi Li', 'Yuhao Tang', 'Yuren Zhou']",Reject
Learning shared manifold representation of images and attributes for generalized zero-shot learning,"['Masahiro Suzuki', 'Yusuke Iwasawa', 'Yutaka Matsuo']",Reject
Single Shot Neural Architecture Search Via Direct Sparse Optimization,"['Xinbang Zhang', 'Zehao Huang', 'Naiyan Wang']",Reject
Continual Learning via Explicit Structure Learning,"['Xilai Li', 'Yingbo Zhou', 'Tianfu Wu', 'Richard Socher', 'Caiming Xiong']",Reject
Neural TTS Stylization with Adversarial and Collaborative Games,"['Shuang Ma', 'Daniel Mcduff', 'Yale Song']",Accept (Poster)
Local Binary Pattern Networks for Character Recognition,"['Jeng-Hau Lin', 'Yunfan Yang', 'Rajesh K. Gupta', 'Zhuowen Tu']",Reject
On the Universal Approximability and Complexity Bounds of Quantized ReLU Neural Networks,"['Yukun Ding', 'Jinglan Liu', 'Jinjun Xiong', 'Yiyu Shi']",Accept (Poster)
A CASE STUDY ON OPTIMAL DEEP LEARNING MODEL FOR UAVS,"['Chandan Kumar', 'Subrahmanyam Vaddi', 'Aishwarya Sarkar']",Reject
Poincare Glove: Hyperbolic Word Embeddings,"['Alexandru Tifrea*', 'Gary Becigneul*', 'Octavian-Eugen Ganea*']",Accept (Poster)
Eidetic 3D LSTM: A Model for Video Prediction and Beyond,"['Yunbo Wang', 'Lu Jiang', 'Ming-Hsuan Yang', 'Li-Jia Li', 'Mingsheng Long', 'Li Fei-Fei']",Accept (Poster)
Towards GAN Benchmarks Which Require Generalization,"['Ishaan Gulrajani', 'Colin Raffel', 'Luke Metz']",Accept (Poster)
Generative Adversarial Networks for Extreme Learned Image Compression,"['Eirikur Agustsson', 'Michael Tschannen', 'Fabian Mentzer', 'Radu Timofte', 'Luc van Gool']",Reject
Assessing Generalization in Deep Reinforcement Learning,"['Charles Packer*', 'Katelyn Gao*', 'Jernej Kos', 'Philipp Krahenbuhl', 'Vladlen Koltun', 'Dawn Song']",Reject
Neural Message Passing for Multi-Label Classification,"['Jack Lanchantin', 'Arshdeep Sekhon', 'Yanjun Qi']",Reject
There Are Many Consistent Explanations of Unlabeled Data: Why You Should Average,"['Ben Athiwaratkun', 'Marc Finzi', 'Pavel Izmailov', 'Andrew Gordon Wilson']",Accept (Poster)
Synthetic Datasets for Neural Program Synthesis,"['Richard Shin', 'Neel Kant', 'Kavi Gupta', 'Chris Bender', 'Brandon Trabucco', 'Rishabh Singh', 'Dawn Song']",Accept (Poster)
Stochastic Prediction of Multi-Agent Interactions from Partial Observations,"['Chen Sun', 'Per Karlsson', 'Jiajun Wu', 'Joshua B Tenenbaum', 'Kevin Murphy']",Accept (Poster)
Correction Networks: Meta-Learning for Zero-Shot Learning,"['R. Lily Hu', 'Caiming Xiong', 'Richard Socher']",Reject
Tinkering with black boxes: counterfactuals uncover modularity in generative models,"['Michel Besserve', 'Remy Sun', 'Bernhard Schoelkopf']",Reject
Exploiting Cross-Lingual Subword Similarities in Low-Resource Document Classification,"['Mozhi Zhang', 'Yoshinari Fujinuma', 'Jordan Boyd-Graber']",Reject
DyRep: Learning Representations over Dynamic Graphs,"['Rakshit Trivedi', 'Mehrdad Farajtabar', 'Prasenjeet Biswal', 'Hongyuan Zha']",Accept (Poster)
Label super-resolution networks,"['Kolya Malkin', 'Caleb Robinson', 'Le Hou', 'Rachel Soobitsky', 'Jacob Czawlytko', 'Dimitris Samaras', 'Joel Saltz', 'Lucas Joppa', 'Nebojsa Jojic']",Accept (Poster)
Multi-step Retriever-Reader Interaction for Scalable Open-domain Question Answering,"['Rajarshi Das', 'Shehzaad Dhuliawala', 'Manzil Zaheer', 'Andrew McCallum']",Accept (Poster)
Empirically Characterizing Overparameterization Impact on Convergence,"['Newsha Ardalani', 'Joel Hestness', 'Gregory Diamos']",Reject
Differential Equation Networks,"['MohamadAli Torkamani', 'Phillip Wallis']",Reject
Unsupervised Multi-Target Domain Adaptation: An Information Theoretic Approach,"['Behnam Gholami', 'Pritish Sahu', 'Ognjen (Oggi) Rudovic', 'Konstantinos Bousmalis', 'Vladimir Pavlovic']",Reject
Explicit Recall for Efficient Exploration,"['Honghua Dong', 'Jiayuan Mao', 'Xinyue Cui', 'Lihong Li']",Reject
Improving machine classification using human uncertainty measurements,"['Ruairidh M. Battleday', 'Joshua C. Peterson', 'Thomas L. Griffiths']",Reject
Capsule Graph Neural Network,"['Zhang Xinyi', 'Lihui Chen']",Accept (Poster)
Learning a Meta-Solver for Syntax-Guided Program Synthesis,"['Xujie Si', 'Yuan Yang', 'Hanjun Dai', 'Mayur Naik', 'Le Song']",Accept (Poster)
Stochastic Optimization of Sorting Networks via Continuous Relaxations,"['Aditya Grover', 'Eric Wang', 'Aaron Zweig', 'Stefano Ermon']",Accept (Poster)
Energy-Constrained Compression for Deep Neural Networks via Weighted Sparse Projection and Layer Input Masking,"['Haichuan Yang', 'Yuhao Zhu', 'Ji Liu']",Accept (Poster)
Graph Generation via Scattering,"['Dongmian Zou', 'Gilad Lerman']",Reject
Learning Physics Priors for Deep Reinforcement Learing,"['Yilun Du', 'Karthik Narasimhan']",Reject
Composing Complex Skills by Learning Transition Policies,"['Youngwoon Lee*', 'Shao-Hua Sun*', 'Sriram Somasundaram', 'Edward S. Hu', 'Joseph J. Lim']",Accept (Poster)
Revealing interpretable object representations from human behavior,"['Charles Y. Zheng', 'Francisco Pereira', 'Chris I. Baker', 'Martin N. Hebart']",Accept (Poster)
Manifold Alignment via Feature Correspondence,"['Jay S. Stanley III', 'Guy Wolf', 'Smita Krishnaswamy']",Reject
ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,"['Han Cai', 'Ligeng Zhu', 'Song Han']",Accept (Poster)
A Generative Model For Electron Paths,"['John Bradshaw', 'Matt J. Kusner', 'Brooks Paige', 'Marwin H. S. Segler', 'José Miguel Hernández-Lobato']",Accept (Poster)
Learning to Infer and Execute 3D Shape Programs,"['Yonglong Tian', 'Andrew Luo', 'Xingyuan Sun', 'Kevin Ellis', 'William T. Freeman', 'Joshua B. Tenenbaum', 'Jiajun Wu']",Accept (Poster)
Music Transformer: Generating Music with Long-Term Structure,"['Cheng-Zhi Anna Huang', 'Ashish Vaswani', 'Jakob Uszkoreit', 'Ian Simon', 'Curtis Hawthorne', 'Noam Shazeer', 'Andrew M. Dai', 'Matthew D. Hoffman', 'Monica Dinculescu', 'Douglas Eck']",Accept (Poster)
SynonymNet: Multi-context Bilateral Matching for Entity Synonyms,"['Chenwei Zhang', 'Yaliang Li', 'Nan Du', 'Wei Fan', 'Philip S. Yu']",Reject
Modeling the Long Term Future in Model-Based Reinforcement Learning,"['Nan Rosemary Ke', 'Amanpreet Singh', 'Ahmed Touati', 'Anirudh Goyal', 'Yoshua Bengio', 'Devi Parikh', 'Dhruv Batra']",Accept (Poster)
Learning to Progressively Plan,"['Xinyun Chen', 'Yuandong Tian']",Reject
Model-Predictive Policy Learning with Uncertainty Regularization for Driving in Dense Traffic,"['Mikael Henaff', 'Alfredo Canziani', 'Yann LeCun']",Accept (Poster)
Learning to Screen for Fast Softmax  Inference on Large Vocabulary Neural Networks,"['Patrick Chen', 'Si Si', 'Sanjiv Kumar', 'Yang Li', 'Cho-Jui Hsieh']",Accept (Poster)
Interpolation-Prediction Networks for Irregularly Sampled Time Series,"['Satya Narayan Shukla', 'Benjamin Marlin']",Accept (Poster)
The Natural Language Decathlon: Multitask Learning as Question Answering,"['Bryan McCann', 'Nitish Shirish Keskar', 'Caiming Xiong', 'Richard Socher']",Reject
Contingency-Aware Exploration in Reinforcement Learning,"['Jongwook Choi', 'Yijie Guo', 'Marcin Moczulski', 'Junhyuk Oh', 'Neal Wu', 'Mohammad Norouzi', 'Honglak Lee']",Accept (Poster)
Using GANs for Generation of Realistic City-Scale Ride Sharing/Hailing Data Sets,"['Abhinav Jauhri', 'Brad Stocks', 'Jian Hui Li', 'Koichi Yamada', 'John Paul Shen']",Reject
Neural Graph Evolution: Towards Efficient Automatic Robot Design,"['Tingwu Wang', 'Yuhao Zhou', 'Sanja Fidler', 'Jimmy Ba']",Accept (Poster)
Selfless Sequential Learning,"['Rahaf Aljundi', 'Marcus Rohrbach', 'Tinne Tuytelaars']",Accept (Poster)
Ain't Nobody Got Time for Coding: Structure-Aware Program Synthesis from Natural Language,"['Jakub Bednarek', 'Karol Piaskowski', 'Krzysztof Krawiec']",Reject
Provable Defenses against Spatially Transformed Adversarial Inputs: Impossibility and Possibility Results,"['Xinyang Zhang', 'Yifan Huang', 'Chanh Nguyen', 'Shouling Ji', 'Ting Wang']",Reject
Simple Black-box Adversarial Attacks,"['Chuan Guo', 'Jacob R. Gardner', 'Yurong You', 'Andrew G. Wilson', 'Kilian Q. Weinberger']",Reject
"Learning Particle Dynamics for Manipulating Rigid Bodies, Deformable Objects, and Fluids","['Yunzhu Li', 'Jiajun Wu', 'Russ Tedrake', 'Joshua B. Tenenbaum', 'Antonio Torralba']",Accept (Poster)
Representing Formal Languages: A Comparison Between Finite Automata and Recurrent Neural Networks ,"['Joshua J. Michalenko', 'Ameesh Shah', 'Abhinav Verma', 'Richard G. Baraniuk', 'Swarat Chaudhuri', 'Ankit B. Patel']",Accept (Poster)
Disjoint Mapping Network for Cross-modal Matching of Voices and Faces,"['Yandong Wen', 'Mahmoud Al Ismail', 'Weiyang Liu', 'Bhiksha Raj', 'Rita Singh']",Accept (Poster)
Learning to control self-assembling morphologies: a study of generalization via modularity,"['Deepak Pathak', 'Chris Lu', 'Trevor Darrell', 'Philip Isola', 'Alexei A. Efros']",Reject
Learning Procedural Abstractions and Evaluating Discrete Latent Temporal Structure,"['Karan Goel', 'Emma Brunskill']",Accept (Poster)
Stochastic Quantized Activation: To prevent Overfitting in Fast Adversarial Training,"['Wonjun Yoon', 'Jisuk Park', 'Daeshik Kim']",Reject
Learning from Noisy Demonstration Sets via Meta-Learned Suitability Assessor,"['Te-Lin Wu', 'Jaedong Hwang', 'Jingyun Yang', 'Shaofan Lai', 'Carl Vondrick', 'Joseph J. Lim']",Reject
Object-Oriented Model Learning through Multi-Level Abstraction,"['Guangxiang Zhu', 'Jianhao Wang', 'ZhiZhou Ren', 'Chongjie Zhang']",Reject
Learning to Design RNA,"['Frederic Runge', 'Danny Stoll', 'Stefan Falkner', 'Frank Hutter']",Accept (Poster)
Accelerated Sparse Recovery Under Structured Measurements,"['Ke Li', 'Jitendra Malik']",Reject
REVISTING NEGATIVE TRANSFER USING ADVERSARIAL LEARNING,"['Saneem Ahmed Chemmengath', 'Samarth Bharadwaj', 'Suranjana Samanta', 'Karthik Sankaranarayanan']",Reject
Mean Replacement Pruning  ,"['Utku Evci', 'Nicolas Le Roux', 'Pablo Castro', 'Leon Bottou']",Reject
P^2IR: Universal Deep Node Representation via Partial Permutation Invariant Set Functions,"['Shupeng Gui', 'Xiangliang Zhang', 'Shuang Qiu', 'Mingrui Wu', 'Jieping Ye', 'Ji Liu']",Reject
Accelerating first order optimization algorithms,"['Ange tato', 'Roger nkambou']",Reject
Accelerated Gradient Flow for Probability Distributions,"['Amirhossein Taghvaei', 'Prashant G. Mehta']",Reject
Cost-Sensitive Robustness against Adversarial Examples,"['Xiao Zhang', 'David Evans']",Accept (Poster)
Combinatorial Attacks on Binarized Neural Networks,"['Elias B Khalil', 'Amrita Gupta', 'Bistra Dilkina']",Accept (Poster)
Modulating transfer between tasks in gradient-based meta-learning,"['Erin Grant', 'Ghassen Jerfel', 'Katherine Heller', 'Thomas L. Griffiths']",Reject
Outlier Detection from Image Data,"['Lei Cao', 'Yizhou Yan', 'Samuel Madden', 'Elke Rundensteiner']",Reject
A Variational Inequality Perspective on Generative Adversarial Networks,"['Gauthier Gidel', 'Hugo Berard', 'Gaëtan Vignoud', 'Pascal Vincent', 'Simon Lacoste-Julien']",Accept (Poster)
Measuring Density and Similarity of Task Relevant Information in Neural Representations,"['Danish Pruthi', 'Mansi Gupta', 'Nitish Kumar Kulkarni', 'Graham Neubig', 'Eduard Hovy']",Reject
Multiple-Attribute Text Rewriting,"['Guillaume Lample', 'Sandeep Subramanian', 'Eric Smith', 'Ludovic Denoyer', ""Marc'Aurelio Ranzato"", 'Y-Lan Boureau']",Accept (Poster)
Experience replay for continual learning,"['David Rolnick', 'Arun Ahuja', 'Jonathan Schwarz', 'Timothy P. Lillicrap', 'Greg Wayne']",Reject
"Search-Guided, Lightly-supervised Training of  Structured Prediction Energy Networks","['Amirmohammad Rooshenas', 'Dongxu Zhang', 'Gopal Sharma', 'Andrew McCallum']",Reject
Multi-Agent Dual Learning,"['Yiren Wang', 'Yingce Xia', 'Tianyu He', 'Fei Tian', 'Tao Qin', 'ChengXiang Zhai', 'Tie-Yan Liu']",Accept (Poster)
Doubly Sparse: Sparse Mixture of Sparse Experts for Efficient Softmax Inference,"['Shun Liao', 'Ting Chen', 'Tian Lin', 'Chong Wang', 'Dengyong Zhou']",Reject
Optimistic Acceleration for Optimization,"['Jun-Kun Wang', 'Xiaoyun Li', 'Ping Li']",Reject
The Variational Deficiency Bottleneck,"['Pradeep Kr. Banerjee', 'Guido Montufar']",Reject
AntMan: Sparse Low-Rank Compression To Accelerate RNN Inference,"['Samyam Rajbhandari', 'Harsh Shrivastava', 'Yuxiong He']",Reject
Learning sparse relational transition models,"['Victoria Xia', 'Zi Wang', 'Kelsey Allen', 'Tom Silver', 'Leslie Pack Kaelbling']",Accept (Poster)
IB-GAN: Disentangled Representation Learning with Information Bottleneck GAN,"['Insu Jeon', 'Wonkwang Lee', 'Gunhee Kim']",Reject
SPIGAN: Privileged Adversarial Learning from Simulation,"['Kuan-Hui Lee', 'German Ros', 'Jie Li', 'Adrien Gaidon']",Accept (Poster)
MahiNet: A Neural Network for Many-Class Few-Shot Learning with Class Hierarchy,"['Lu Liu', 'Tianyi Zhou', 'Guodong Long', 'Jing Jiang', 'Chengqi Zhang']",Reject
Interpretable Continual Learning,"['Tameem Adel', 'Cuong V. Nguyen', 'Richard E. Turner', 'Zoubin Ghahramani', 'Adrian Weller']",Reject
Universal  Stagewise Learning for Non-Convex Problems with  Convergence on  Averaged Solutions,"['Zaiyi Chen', 'Zhuoning Yuan', 'Jinfeng Yi', 'Bowen Zhou', 'Enhong Chen', 'Tianbao Yang']",Accept (Poster)
 Reasoning About Physical Interactions with Object-Oriented Prediction and Planning,"['Michael Janner', 'Sergey Levine', 'William T. Freeman', 'Joshua B. Tenenbaum', 'Chelsea Finn', 'Jiajun Wu']",Accept (Poster)
Posterior Attention Models for Sequence to Sequence Learning,"['Shiv Shankar', 'Sunita Sarawagi']",Accept (Poster)
Adaptive Mixture of Low-Rank Factorizations for Compact Neural Modeling,"['Ting Chen', 'Ji Lin', 'Tian Lin', 'Song Han', 'Chong Wang', 'Denny Zhou']",Reject
Functional Bayesian Neural Networks for Model Uncertainty Quantification,"['Nanyang Ye', 'Zhanxing Zhu']",Reject
Fake Sentence Detection as a Training Task for Sentence Encoding,"['Viresh Ranjan', 'Heeyoung Kwon', 'Niranjan Balasubramanian', 'Minh Hoai']",Reject
Multi-Grained Entity Proposal Network for Named Entity Recognition,"['Congying Xia', 'Chenwei Zhang', 'Tao Yang', 'Yaliang Li', 'Nan Du', 'Xian Wu', 'Wei Fan', 'Fenglong Ma', 'Philip S. Yu']",Reject
A  Model Cortical Network for Spatiotemporal Sequence Learning and Prediction,"['Jielin Qiu', 'Ge Huang', 'Tai Sing Lee']",Reject
ISA-VAE: Independent Subspace Analysis with Variational Autoencoders,"['Jan Stühmer', 'Richard Turner', 'Sebastian Nowozin']",Reject
On the Trajectory of Stochastic Gradient Descent in the Information Plane,"['Emilio Rafael Balda', 'Arash Behboodi', 'Rudolf Mathar']",Reject
NOODL: Provable Online Dictionary Learning and Sparse Coding,"['Sirisha Rambhatla', 'Xingguo Li', 'Jarvis Haupt']",Accept (Poster)
Neural Model-Based Reinforcement Learning for Recommendation,"['Xinshi Chen', 'Shuang Li', 'Hui Li', 'Shaohua Jiang', 'Le Song']",Reject
RelGAN: Relational Generative Adversarial Networks for Text Generation,"['Weili Nie', 'Nina Narodytska', 'Ankit Patel']",Accept (Poster)
Do Deep Generative Models Know What They Don't Know? ,"['Eric Nalisnick', 'Akihiro Matsukawa', 'Yee Whye Teh', 'Dilan Gorur', 'Balaji Lakshminarayanan']",Accept (Poster)
Characterizing Attacks on Deep Reinforcement Learning,"['Chaowei Xiao', 'Xinlei Pan', 'Warren He', 'Bo Li', 'Jian Peng', 'Mingjie Sun', 'Jinfeng Yi', 'Mingyan Liu', 'Dawn Song.']",Reject
K for the Price of 1: Parameter-efficient Multi-task and Transfer Learning,"['Pramod Kaushik Mudrakarta', 'Mark Sandler', 'Andrey Zhmoginov', 'Andrew Howard']",Accept (Poster)
MisGAN: Learning from Incomplete Data with Generative Adversarial Networks,"['Steven Cheng-Xian Li', 'Bo Jiang', 'Benjamin Marlin']",Accept (Poster)
Learnable Embedding Space for Efficient Neural Architecture Compression,"['Shengcao Cao', 'Xiaofang Wang', 'Kris M. Kitani']",Accept (Poster)
ACTRCE: Augmenting Experience via Teacher’s Advice,"['Yuhuai Wu', 'Harris Chan', 'Jamie Kiros', 'Sanja Fidler', 'Jimmy Ba']",Reject
Learning to Augment Influential Data,"['Donghoon Lee', 'Chang D. Yoo']",Reject
Unsupervised Exploration with Deep Model-Based Reinforcement Learning,"['Kurtland Chua', 'Rowan McAllister', 'Roberto Calandra', 'Sergey Levine']",Reject
INTERPRETABLE CONVOLUTIONAL FILTER PRUNING,"['Zhuwei Qin', 'Fuxun Yu', 'Chenchen Liu', 'Xiang Chen']",Reject
Guiding Policies with Language via Meta-Learning,"['John D. Co-Reyes', 'Abhishek Gupta', 'Suvansh Sanjeev', 'Nick Altieri', 'Jacob Andreas', 'John DeNero', 'Pieter Abbeel', 'Sergey Levine']",Accept (Poster)
Active Learning with Partial Feedback,"['Peiyun Hu', 'Zachary C. Lipton', 'Anima Anandkumar', 'Deva Ramanan']",Accept (Poster)
Combining adaptive algorithms and hypergradient method: a performance and robustness study,"['Akram Erraqabi', 'Nicolas Le Roux']",Reject
Novel positional encodings to enable tree-structured transformers,"['Vighnesh Leonardo Shiv', 'Chris Quirk']",Reject
Adversarial Audio Super-Resolution with Unsupervised Feature Losses,"['Sung Kim', 'Visvesh Sathe']",Reject
Visual Imitation with a Minimal Adversary,"['Scott Reed', 'Yusuf Aytar', 'Ziyu Wang', 'Tom Paine', 'Aäron van den Oord', 'Tobias Pfaff', 'Sergio Gomez', 'Alexander Novikov', 'David Budden', 'Oriol Vinyals']",Reject
On the Sensitivity of Adversarial Robustness to Input Data Distributions,"['Gavin Weiguang Ding', 'Kry Yik Chau Lui', 'Xiaomeng Jin', 'Luyu Wang', 'Ruitong Huang']",Accept (Poster)
Efficient Multi-Objective Neural Architecture Search via Lamarckian Evolution,"['Thomas Elsken', 'Jan Hendrik Metzen', 'Frank Hutter']",Accept (Poster)
DISTRIBUTIONAL CONCAVITY REGULARIZATION FOR GANS,"['Shoichiro Yamaguchi', 'Masanori Koyama']",Accept (Poster)
Making Convolutional Networks Shift-Invariant Again,['Richard Zhang'],Reject
Characterizing Audio Adversarial Examples Using Temporal Dependency,"['Zhuolin Yang', 'Bo Li', 'Pin-Yu Chen', 'Dawn Song']",Accept (Poster)
Text Infilling,"['Wanrong Zhu', 'Zhiting Hu', 'Eric P. Xing']",Reject
GANSynth: Adversarial Neural Audio Synthesis,"['Jesse Engel', 'Kumar Krishna Agrawal', 'Shuo Chen', 'Ishaan Gulrajani', 'Chris Donahue', 'Adam Roberts']",Accept (Poster)
Toward Understanding the Impact of Staleness in Distributed Machine Learning,"['Wei Dai', 'Yi Zhou', 'Nanqing Dong', 'Hao Zhang', 'Eric Xing']",Accept (Poster)
Flow++: Improving Flow-Based Generative Models  with  Variational Dequantization and Architecture Design  ,"['Jonathan Ho', 'Xi Chen', 'Aravind Srinivas', 'Yan Duan', 'Pieter Abbeel']",Reject
Beyond Greedy Ranking: Slate Optimization via List-CVAE,"['Ray Jiang', 'Sven Gowal', 'Yuqiu Qian', 'Timothy Mann', 'Danilo J. Rezende']",Accept (Poster)
Intrinsic Social Motivation via Causal Influence in Multi-Agent RL,"['Natasha Jaques', 'Angeliki Lazaridou', 'Edward Hughes', 'Caglar Gulcehre', 'Pedro A. Ortega', 'DJ Strouse', 'Joel Z. Leibo', 'Nando de Freitas']",Reject
Model Compression with Generative Adversarial Networks,"['Ruishan Liu', 'Nicolo Fusi', 'Lester Mackey']",Reject
G-SGD: Optimizing ReLU Neural Networks in its Positively Scale-Invariant Space,"['Qi Meng', 'Shuxin Zheng', 'Huishuai Zhang', 'Wei Chen', 'Qiwei Ye', 'Zhi-Ming Ma', 'Nenghai Yu', 'Tie-Yan Liu']",Accept (Poster)
Architecture Compression,['Anubhav Ashok'],Reject
ATTENTIVE EXPLAINABILITY FOR PATIENT TEMPORAL EMBEDDING,"['Daby Sow', 'Mohamed Ghalwash', 'Zach Shahn', 'Sanjoy Dey', 'Moulay Draidia', 'Li-wei Lehmann']",Reject
Context Dependent Modulation of Activation Function,"['Long Sha', 'Jonathan Schwarcz', 'Pengyu Hong']",Reject
Transfer Value or Policy? A Value-centric Framework Towards Transferrable Continuous Reinforcement Learning,"['Xingchao Liu', 'Tongzhou Mu', 'Hao Su']",Reject
Uncovering Surprising Behaviors in Reinforcement Learning via Worst-case Analysis,"['Avraham Ruderman', 'Richard Everett', 'Bristy Sikder', 'Hubert Soyer', 'Jonathan Uesato', 'Ananya Kumar', 'Charlie Beattie', 'Pushmeet Kohli']",Reject
Spherical CNNs on Unstructured Grids,"['Chiyu Max Jiang', 'Jingwei Huang', 'Karthik Kashinath', 'Prabhat', 'Philip Marcus', 'Matthias Niessner']",Accept (Poster)
Boosting Robustness Certification of Neural Networks,"['Gagandeep Singh', 'Timon Gehr', 'Markus Püschel', 'Martin Vechev']",Accept (Poster)
Two-Timescale Networks for Nonlinear Value Function Approximation,"['Wesley Chung', 'Somjit Nath', 'Ajin Joseph', 'Martha White']",Accept (Poster)
Differentiable Perturb-and-Parse: Semi-Supervised Parsing with a Structured Variational Autoencoder,"['Caio Corro', 'Ivan Titov']",Accept (Poster)
Small steps and giant leaps: Minimal Newton solvers for Deep Learning,"['Joao Henriques', 'Sebastien Ehrhardt', 'Samuel Albanie', 'Andrea Vedaldi']",Reject
DEEP-TRIM: REVISITING L1 REGULARIZATION FOR CONNECTION PRUNING OF DEEP NETWORK,"['Chih-Kuan Yeh', 'Ian E.H. Yen', 'Hong-You Chen', 'Chun-Pei Yang', 'Shou-De Lin', 'Pradeep Ravikumar']",Reject
Neural Rendering Model: Joint Generation and Prediction for Semi-Supervised Learning,"['Nhat Ho', 'Tan Nguyen', 'Ankit B. Patel', 'Anima Anandkumar', 'Michael I. Jordan', 'Richard G. Baraniuk']",Reject
NICE: noise injection and clamping estimation for neural network quantization,"['Chaim Baskin', 'Natan Liss', 'Yoav Chai', 'Evgenii Zheltonozhskii', 'Eli Schwartz', 'Raja Girayes', 'Avi Mendelson', 'Alexander M.Bronstein']",Reject
Trajectory VAE for multi-modal imitation,"['Xiaoyu Lu', 'Jan Stuehmer', 'Katja Hofmann']",Reject
Approximation capability of neural networks on sets of probability measures and tree-structured data,"['Tomáš Pevný', 'Vojtěch Kovařík']",Reject
Algorithmic Framework for Model-based Deep Reinforcement Learning with Theoretical Guarantees,"['Yuping Luo', 'Huazhe Xu', 'Yuanzhi Li', 'Yuandong Tian', 'Trevor Darrell', 'Tengyu Ma']",Accept (Poster)
Coupled Recurrent Models for Polyphonic Music Composition,"['John Thickstun', 'Zaid Harchaoui', 'Dean P. Foster', 'Sham M. Kakade']",Reject
Tree-Structured Recurrent Switching Linear Dynamical Systems for Multi-Scale Modeling,"['Josue Nassar', 'Scott Linderman', 'Monica Bugallo', 'Il Memming Park']",Accept (Poster)
Reinforced Pipeline Optimization: Behaving Optimally with Non-Differentiabilities,"['Aijun Bai', 'Dongdong Chen', 'Gang Hua', 'Lu Yuan']",Reject
GenEval: A Benchmark Suite for Evaluating Generative Models,"['Anton Bakhtin', 'Arthur Szlam', ""Marc'Aurelio Ranzato""]",Reject
Diagnosing and Enhancing VAE Models,"['Bin Dai', 'David Wipf']",Accept (Poster)
Efficiently testing local optimality and escaping saddles for ReLU networks,"['Chulhee Yun', 'Suvrit Sra', 'Ali Jadbabaie']",Accept (Poster)
Don't let your Discriminator  be fooled,"['Brady Zhou', 'Philipp Krähenbühl']",Accept (Poster)
Machine Translation With Weakly Paired Bilingual Documents,"['Lijun Wu', 'Jinhua Zhu', 'Di He', 'Fei Gao', 'Xu Tan', 'Tao Qin', 'Tie-Yan Liu']",Reject
An Active Learning Framework for Efficient Robust Policy Search,"['Sai Kiran Narayanaswami', 'Nandan Sudarsanam', 'Balaraman Ravindran']",Reject
Diverse Machine Translation with a Single Multinomial Latent Variable,"['Tianxiao Shen', 'Myle Ott', 'Michael Auli', 'Marc’Aurelio Ranzato']",Reject
