title,decision,year,Authors,rating_score,rating_text,review,confidence_score,confidence_text,academic_age,current_age,total_num_pub,total_num_conference,total_num_informal,total_num_journal
Pruning Filters for Efficient ConvNets,Accept,2017,"['Hao Li', 'Asim Kadav', 'Igor Durdanovic', 'Hanan Samet', 'Hans Peter Graf']","[7, 7, 6, 7]","['Good paper, accept', 'Good paper, accept', 'Marginally above acceptance threshold', 'Good paper, accept']","The idea of *pruning where it matters* is great. The authors do a very good job of thinking it through, and taking to the next level by studying pruning across different layers too. Extra points for clarity of the description and good pictures. Even more extra points for actually specifying what spaces are which layers are mapping into which (mathbb symbol - two thumbs up!). The experiments are well done and the results are encouraging. Of course, more experiments would be even nicer, but is it ever not the case? My question/issue - is the proposed pruning criterion proposed? Yes, pruning on the filter level is what in my opinion is the way to go, but I would be curious how the *min sum of weights* criterion compares to other approaches. How does it compare to other pruning criteria? Is it better than *pruning at random*? Overall, I liked the paper.","['4', '5', '5', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[3, 10, 28, 43, 38]","[7, 16, 28, 49, 44]","[11, 48, 13, 330, 69]","[7, 23, 10, 201, 46]","[4, 21, 1, 10, 10]","[0, 4, 2, 119, 13]"
Quasi-Recurrent Neural Networks,Accept,2017,"['James Bradbury', 'Stephen Merity', 'Caiming Xiong', 'Richard Socher']","[6, 7, 5, 7]","['Marginally above acceptance threshold', 'Good paper, accept', '5', 'Good paper, accept']","This paper introduces the Quasi-Recurrent Neural Network (QRNN) that dramatically limits the computational burden of the temporal transitions in sequence data. Briefly (and slightly inaccurately) model starts with the LSTM structure but removes all but the diagonal elements to the transition matrices. It also generalizes the connections from lower layers to upper layers to general convolutions in time (the standard LSTM can be though of as a convolution with a receptive field of 1 time-step). As discussed by the authors, the model is related to a number of other recent modifications of RNNs, in particular ByteNet and strongly-typed RNNs (T-RNN). In light of these existing models, the novelty of the QRNN is somewhat diminished, however in my opinion their is still sufficient novelty to justify publication. The authors present a reasonably solid set of empirical results that support the claims of the paper. It does indeed seem that this particular modification of the LSTM warrants attention from others. While I feel that the contribution is somewhat incremental, I recommend acceptance.","['4', '4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[-1, 22]","[4, 27]","[5, 77]","[5, 38]","[0, 1]","[0, 38]"
Query-Reduction Networks for Question Answering,Accept,2017,"['Minjoon Seo', 'Sewon Min', 'Ali Farhadi', 'Hannaneh Hajishirzi']","[7, 7, 7]","['Good paper, accept', 'Good paper, accept', 'Good paper, accept']","The paper proposed a simple and effective model for QA. The paper is easy to read and result is impressive on the synthetic and real dataset. The one question is the paper is called query-reduction, but there is no place to show this reduction explicitly.","['3', '4', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[4, 1, 15, 11]","[10, 7, 21, 17]","[69, 51, 241, 238]","[26, 23, 117, 116]","[43, 28, 110, 119]","[0, 0, 14, 3]"
Reasoning with Memory Augmented Neural Networks for Language Comprehension,Accept,2017,"['Tsendsuren Munkhdalai', 'Hong Yu']","[6, 7]","['Marginally above acceptance threshold', 'Good paper, accept']","Thie paper proposed an iterative memory updating model for cloze-style question-answering task. The approach is interesting, and result is good. For the paper, I have some comments: 1. Actually the model in the paper is not single model, it proposed two models. One consists of *reading*, *writing*, *adaptive computation* and * Answer module 2*, the other one is *reading*, *composing*, *writing*, *gate querying* and *Answer module 1*. Based on the method section and the experiment, it seems the *adaptive computation* model is simpler and performs better. And without two time memory update in single iteration and composing module, the model is similar to neural turing machine. 2. What is the MLP setting in the composing module? 3. This paper tested different size of hidden state:[256, 368, 436, 512], I do not find any relation between those numbers, how could you find 436? Is there any tricks helping you find those numbers? 4. It needs more ablation study about using different T such as T=1,2.. 5. According to my understanding, for the adaptive computation, it would stop when the P_T <0. So what is the distribution of T in the testing data?","['3', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[7, 19]","[13, 25]","[52, 137]","[24, 69]","[17, 36]","[11, 32]"
Recurrent Batch Normalization,Accept,2017,"['Tim Cooijmans', 'Nicolas Ballas', 'César Laurent', 'Çağlar Gülçehre', 'Aaron Courville']","[7, 8, 7]","['Good paper, accept', 'Top 50% of accepted papers, clear accept', 'Good paper, accept']","The paper shows that BN, which does not work out of the box for RNNs, can be used with LSTM when the operator is applied to the hidden-to-hidden and the input-to-hidden contribution separately. Experiments are conducted to show that it leads to improved generalisation error and faster convergence. The paper is well written and the idea well presented. i) The data sets and consequently the statistical assumptions used are limited (e.g. no continuous data, only autoregressive generative modelling). ii) The hyper parameters are nearly constant over the experiments. It is ruled out that they have not been picked in favor of one of the methods. E.g. just judging from the text, a different learning rate could have lead to equally fast convergence for vanilla LSTM. Concluding, the experiments are flawed and do not sufficiently support the claim. An exhaustive search of the hyper parameter space could rule that out.","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[20, 2, 15, 21]","[26, 7, 21, 27]","[973, 13, 231, 1196]","[440, 8, 140, 568]","[87, 1, 14, 44]","[446, 4, 77, 584]"
Recurrent Environment Simulators,Accept,2017,"['Silvia Chiappa', 'Sébastien Racaniere', 'Daan Wierstra', 'Shakir Mohamed']","[7, 5, 8]","['Good paper, accept', '5', 'Top 50% of accepted papers, clear accept']","[UPDATE] After going through the response from the author and the revision, I increased my review score for two reasons. 1. I thank the reviewers for further investigating the difference between yours and the other work (Scheduled sampling, Unsupervised learning using LSTM) and providing some insights about it. This paper at least shows empirically that 100%-Pred scheme is better for high-dimensional video and for long-term predictions. It would be good if the authors briefly discuss this in the final revision (either in the appendix or in the main text). 2. The revised paper contains more comprehensive results than before. The presented result and discussion in this paper will be quite useful to the research community as high-dimensional video prediction involves large-scale experiments that are computationally expensive. - Summary This paper presents a new RNN architecture for action-conditional future prediction. The proposed architecture combines actions into the recurrent connection of the LSTM core, which performs better than the previous state-of-the-art architecture [Oh et al.]. The paper also explores and compares different architectures such as frame-dependent/independent mode and observation/prediction-dependent architectures. The experimental result shows that the proposed architecture with fully prediction-dependent training scheme achieves the state-of-the-art performance on several complex visual domains. It is also shown that the proposed prediction architecture can be used to improve exploration in a 3D environment. - Novelty The novelty of the proposed architecture is not strong. The difference between [Oh et al.] and this work is that actions are combined into the LSTM in this paper, while actions are combined after LSTM in [Oh et al.]. The jumpy prediction was already introduced by [Srivastava et al.] in the deep learning area. - Experiment The experiments are well-designed and thorough. Specifically, the paper evaluates different training schemes and compares different architectures using several rich domains (Atari, 3D worlds). Besides, the proposed method achieves the state-of-the-art results on many domains and presents an application for model-based exploration. - Clarity The paper is well-written and easy to follow. - Overall Although the proposed architecture is not much novel, it achieves promising results on Atari games and 3D environments. In addition, the systematic evaluation of different architectures presented in the paper would be useful to the community. [Reference] Nitish Srivastava, Elman Mansimov, Ruslan Salakhutdinov. Unsupervised Learning with LSTMs. ICML 2016.","['5', '4', '4']","['The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[14, 7, 14, 12]","[20, 13, 16, 17]","[38, 40, 70, 66]","[17, 11, 35, 27]","[18, 25, 27, 33]","[3, 4, 8, 6]"
Recurrent Hidden Semi-Markov Model,Accept,2017,"['Hanjun Dai', 'Bo Dai', 'Yan-Ming Zhang', 'Shuang Li', 'Le Song']","[7, 7, 7]","['Good paper, accept', 'Good paper, accept', 'Good paper, accept']","This paper proposes a novel and interesting way to tackle the difficulties of performing inference atop HSMM. The idea of using an embedded bi-RNN to approximate the posterior is a reasonable and clever idea. That being said, I think two aspects may need further improvement: (1) An explanation as to why a bi-RNN can provide more accurate approximations than other modeling choices (e.g. structured mean field that uses a sequential model to formulate the variational distribution) is needed. I think it would make the paper stronger if the authors can explain in an intuitive way why this modeling choice is better than some other natural choices (in addition to empirical verification). (2) The real world datasets seem to be quite small (e.g. less than 100 sequences). Experimental results reported on larger datasets may also strengthen the paper.","['4', '3', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[15, 1, 2, 15, 13, 14]","[21, 7, 7, 21, 19, 20]","[564, 15, 31, 317, 105, 267]","[260, 5, 14, 147, 60, 107]","[66, 5, 12, 137, 23, 89]","[238, 5, 5, 33, 22, 71]"
Recurrent Mixture Density Network for Spatiotemporal Visual Attention,Accept,2017,"['Loris Bazzani', 'Hugo Larochelle', 'Lorenzo Torresani']","[7, 6, 6]","['Good paper, accept', 'Marginally above acceptance threshold', 'Marginally above acceptance threshold']","The authors formulate a recurrent deep neural network to predict human fixation locations in videos as a mixture of Gaussians. They train the model using maximum likelihood with actual fixation data. Apart from evaluating how good the model performs at predicting fixations, they combine the saliency predictions with the C3D features for action recognition. quality: I am missing a more thorough evaluation of the fixation prediction performance. The center bias performance in Table 1 differs significantly from the on in Table 2. All the state-of-the-art models reported in Table 2 have a performance worse than the center bias performance reported in Table 1. Is there really no other model better than the center bias? Additionally I am missing details on how central bias and human performance are modelled. Is human performance cross-validated? You claim that your *results are very close to human performance (the difference is only 3.2%). This difference is actually larger than the difference between Central Bias and your model reported in Table 1. Apart from this, it is dangerous to compare AUC performance differences due to e.g. saturation issues. clarity: the explanation for Table 3 is a bit confusing, also it is not clear why the CONV5 and the FC6 models differ in how the saliency map is used. At least one should also evaluate the CONV5 model when multiplying the input with the saliency map to see how much of the difference comes from the different ways to use the saliency map and how much from the different features. Other issues: You cite Kümmerer et. al 2015 as a model which *learns ... indirectly rather than from explicit information of where humans look*, however the their model has been trained on fixation data using maximum-likelihood. Apart from these issues, I think the paper make a very interesting contribution to spatio-temporal fixation prediction. If the evaluation issues given above are sorted out, I will happily improve my rating.","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[9, 13, 21]","[15, 19, 27]","[42, 162, 154]","[27, 64, 83]","[8, 74, 61]","[7, 24, 10]"
Regularizing CNNs with Locally Constrained Decorrelations,Accept,2017,"['Pau Rodríguez', 'Jordi Gonzàlez', 'Guillem Cucurull', 'Josep M. Gonfaus', 'Xavier Roca']","[7, 7, 7]","['Good paper, accept', 'Good paper, accept', 'Good paper, accept']","The author proposed a simple but yet effective technique in order to regularized neural networks. The results obtained are quite good and the technique shows to be effective when it it applied even on state of the art topologies, that is welcome because some regularization techniques used to be applied in easy task or on a initial configuration which results are still far from the best known results.","['3', '4', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[2, 18, 2, 8, 21]","[8, 24, 7, 13, 27]","[75, 138, 16, 16, 65]","[23, 71, 5, 5, 34]","[39, 11, 8, 4, 4]","[13, 56, 3, 7, 27]"
Reinforcement Learning through Asynchronous Advantage Actor-Critic on a GPU,Accept,2017,"['Mohammad Babaeizadeh', 'Iuri Frosio', 'Stephen Tyree', 'Jason Clemons', 'Jan Kautz']","[5, 7, 8]","['5', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","The paper introduces GA3C, a GPU-based implementation of the A3C algorithm, which was originally designed for multi-core CPUs. The main innovation is the introduction of a system of queues. The queues are used for batching data for prediction and training in order to achieve high GPU occupancy. The system is compared to the authors* own implementation of A3C as well as to published reference scores. The paper introduces a very natural architecture for implementing A3C on GPUs. Batching requests for predictions and learning steps for multiple actors to maximize GPU occupancy seems like the right thing to do assuming that latency is not an issue. The automatic performance tuning strategy is also really nice to see. I appreciate the response showing that the throughput of GA3C is 20% higher than what is reported in the original A3C paper. What is still missing is a demonstration that the learning speed/data efficiency is in the right ballpark. Figure 3 of your paper is comparing scores under very different evaluation protocols. These numbers are just not comparable. The most convincing way to show that the learning speed is comparable would be time vs score plots or data vs score plots that show similar or improved speed to A3C. For example, this open source implementation seems to match the performance on Breakout: https://github.com/muupan/async-rl One or two plots like that would complete this paper very nicely. ----------------------------------- I appreciate the additional experiments included in the revised version of the paper. The learning speed comparison makes the paper more complete and I’m slightly revising my score to reflect that. Having said that, there is still no clear demonstration that the higher throughput of GA3C leads to consistently faster learning. With the exception of Pong, the training curves in Figure 6 seem to significantly underperform the original A3C results or even the open source implementation of A3C on Breakout and Space Invaders (https://github.com/muupan/async-rl).","['5', '5', '3']","['The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is fairly confident that the evaluation is correct']","[6, 15, 10, 7, 20]","[11, 21, 16, 12, 26]","[25, 56, 50, 22, 397]","[11, 27, 25, 15, 194]","[14, 15, 25, 4, 141]","[0, 14, 0, 3, 62]"
Revisiting Classifier Two-Sample Tests,Accept,2017,"['David Lopez-Paz', 'Maxime Oquab']","[7, 8, 7]","['Good paper, accept', 'Top 50% of accepted papers, clear accept', 'Good paper, accept']","I would like first to apologize for the delay. Summary: A framework for two-samples statistical test using binary classification is proposed. It allows multi-dimensional sample testing and an interpretability that other tests lack. A theoritical analysis is provided and various empirical tests reported. A very interesting approach. I have however two main concerns. The clarity of the presentation is obscured by too much content. It would be more interesting if the presentation could be somewhat self-contained. You could consider making 2 papers out of this paper. Seriously, you cram a lot of experiments in this paper. But the setting of the experiments is not really explained. We are supposed to have read Jitkrittum et al., 2016, Radford et al., 2016, Yu et al., 2015, etc. All this is okay but reduces your public to a very few. For example, if I am not mistaken, you never explained what SCF is, despite the fact that its performances are reported. As a second point, given also that the number of submissions to this conference are exploding, I would like to challenge you with the following question: Why is this work significant to the representation learning community?","['3', '5', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[7, 4]","[13, 10]","[60, 18]","[28, 8]","[27, 9]","[5, 1]"
SGDR: Stochastic Gradient Descent with Warm Restarts,Accept,2017,"['Ilya Loshchilov', 'Frank Hutter']","[7, 7, 7]","['Good paper, accept', 'Good paper, accept', 'Good paper, accept']","This heuristic to improve gradient descent in image classification is simple and effective, but this looks to me more like a workshop track paper. Demonstration of the algorithm is limited to one task (CIFAR) and there is no theory to support it, so we do not know how it will generalize on other tasks Working on DNNs for NLP, I find some observations in the paper opposite to my own experience. In particular, with architectures that combine a wide variety of layer types (embedding, RNN, CNN, gating), I found that ADAM-type techniques far outperform simple SGD with momentum, as they save searching for the right learning rate for each type of layer. But ADAM only works well combined with Poliak averaging, as it fluctuates a lot from one batch to another. Revision: - the authors substantially improved the contents of the paper, including experiments on another set than Cifar - the workshop track has been modified to breakthrough work, so my recommendation for it is not longer appropriate I have therefore improved my rating","['3', '4', '5']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[8, 16]","[10, 22]","[41, 252]","[23, 103]","[16, 120]","[2, 29]"
SampleRNN: An Unconditional End-to-End Neural Audio Generation Model,Accept,2017,"['Soroush Mehri', 'Kundan Kumar', 'Ishaan Gulrajani', 'Rithesh Kumar', 'Shubham Jain', 'Jose Sotelo', 'Aaron Courville', 'Yoshua Bengio']","[9, 8, 8]","['9', 'Top 50% of accepted papers, clear accept', 'Top 50% of accepted papers, clear accept']","The paper proposed a novel SampleRNN to directly model waveform signals and achieved better performance both in terms of objective test NLL and subjective A/B tests. As mentioned in the discussions, the current status of the paper lack plenty of details in describing their model. Hopefully, this will be addressed in the final version. The authors attempted to compare with wavenet model, but they didn*t manage to get a model better than the baseline LSTM-RNN, which makes all the comparisons to wavenets less convincing. Hence, instead of wasting time and space comparing to wavenet, detailing the proposed model would be better.","['4', '4', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[3, 12, 3, 2, 5, 2, 17, 30]","[7, 18, 9, 7, 11, 5, 23, 36]","[12, 57, 20, 10, 101, 11, 309, 977]","[7, 29, 9, 3, 63, 5, 135, 405]","[5, 17, 11, 7, 19, 6, 160, 456]","[0, 11, 0, 0, 19, 0, 14, 116]"
Semi-Supervised Classification with Graph Convolutional Networks,Accept,2017,"['Thomas N. Kipf', 'Max Welling']","[7, 7, 7]","['Good paper, accept', 'Good paper, accept', 'Good paper, accept']","The paper develops a simple and reasonable algorithm for graph node prediction/classification. The formulations are very intuitive and lead to a simple CNN based training and can easily leverage existing GPU speedups. Experiments are thorough and compare with many reasonable baselines on large and real benchmark datasets. Although, I am not quite aware of the literature on other methods and there may be similar alternatives as link and node prediction is an old problem. I still think the approach is quite simple and reasonably supported by good evaluations.","['3', '4', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[2, 11, 24]","[7, 17, 30]","[11, 68, 236]","[3, 29, 104]","[6, 21, 63]","[2, 18, 69]"
Sigma Delta Quantized Networks,Accept,2017,"[""Peter O'Connor"", 'Max Welling']","[8, 6, 8]","['Top 50% of accepted papers, clear accept', 'Marginally above acceptance threshold', 'Top 50% of accepted papers, clear accept']","This paper presented a method of improving the efficiency of deep networks acting on a sequence of correlated inputs, by only performing the computations required to capture changes between adjacent inputs. The paper was clearly written, the approach is clever, and it*s neat to see a practical algorithm driven by what is essentially a spiking network. The benefits of this approach are still more theoretical than practical -- it seems unlikely to be worthwhile to do this on current hardware. I strongly suspect that if deep networks were trained with an appropriate sparse slowness penalty, the reduction in computation would be much larger.","['4', '3', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[21, 18]","[23, 24]","[32, 391]","[20, 190]","[5, 167]","[7, 34]"
"Snapshot Ensembles: Train 1, Get M for Free",Accept,2017,"['Gao Huang', 'Yixuan Li', 'Geoff Pleiss', 'Zhuang Liu', 'John E. Hopcroft', 'Kilian Q. Weinberger']","[9, 7, 8]","['9', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","This work develops a method to quickly produce an ensemble of deep networks that outperform a single network trained for an equivalent amount of time. The basis of this approach is to use a cyclic learning rate to quickly settle the model into a local minima and saving a model snapshot at this time before quickly raising the learning rate to escape towards a different minima*s well of attraction. The resulting snapshots can be collected throughout a single training run and achieve reasonable performance compared to baselines and have some of the gains of traditional ensembles (at a much lower cost). This paper is well written, has clear and informative figures/tables, and provides convincing results across a broad range of models and datasets. I especially liked the analysis in Section 4.4. The publicly available code to ensure reproducibility is also greatly appreciated. I would like to see more discussion of the accuracy and variability of each snapshot and further comparison with true ensembles. Preliminary rating: This is an interesting work with convincing experiments and clear writing. Minor note: Why is the axis for lambda from -1 to 2 in Figure 5 where lambda is naturally between 0 and 1.","['4', '5', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is fairly confident that the evaluation is correct']","[6, 3, 1, 2, 53, 14]","[12, 9, 7, 8, 59, 20]","[207, 55, 49, 40, 184, 199]","[71, 23, 22, 16, 78, 106]","[85, 29, 26, 20, 36, 82]","[51, 3, 1, 4, 70, 11]"
Soft Weight-Sharing for Neural Network Compression,Accept,2017,"['Karen Ullrich', 'Edward Meeds', 'Max Welling']","[7, 7, 7]","['Good paper, accept', 'Good paper, accept', 'Good paper, accept']","This paper proposes to use an empirical Bayesian approach to learn the parameters of a neural network, and their priors. A mixture model prior over the weights leads to a clustering effect in the weight posterior distributions (which are approximated with delta peaks). This clustering effect can exploited for parameter quantisation and compression of the network parameters. The authors show that this leads to compression rates and predictive accuracy comparable to related approaches. Earlier work [Han et al. 2015] is based on a three-stage process of pruning small magnitude weights, clustering the remaining ones, and updating the cluster centres to optimise performance. The current work provides a more principled approach that does not have such an ad-hoc multi-stage structure, but a single iterative optimisation process. A first experiment, described in section 6.1 shows that an empirical Bayes’ approach, without the use of hyper priors, already leads to a pronounced clustering effect and to setting many weights to zero. In particular a compression rate of 64.2 is obtained on the LeNet300-100 model. In section 6.1 the text refers to figure C, I suppose this should be figure 1. Section 6.2 describes an experiment where hyper-priors are used, and the parameters of these distributions, as well as other hyper-parameters such as the learning rates, are being optimised using Spearmint (Snoek et al., 2012). Figure 2 shows the performance of the different points in the hyper-parameter space that have been evaluated (each trained network gives an accuracy-compressionrate point in the graph). The text claims that best results lie on a line, this seems a little opportunistic interpretation given the limited data. Moreover, it would be useful to add a small discussion on whether such a linear relationship would be expected or not. Currently the results of this experiment lack interpretation. Section 6.3 describes results obtained for both CNN models and compares results to the recent results of (Han et al., 2015) and (Guo et al., 2016). Comparable results are obtained in terms of compression rate and accuracy. The authors state that their current algorithm is too slow to be useful for larger models such as VGG-19, but they do briefly report some results obtained for this model (but do not compare to related work). It would be useful here to explain what slows the training down with respect to standard training without the weight clustering approach, and how the proposed algorithm scales in terms of the relevant quantities of the data and the model. The contribution of this paper is mostly experimental, leveraging fairly standard ideas from empirical Bayesian learning to introduce weight clustering effects in CNN training. This being said, it is an interesting result that such a relatively straightforward approach leads to results that are on par with state-of-the-art, but more ad-hoc, network compression techniques. The paper could be improved by clearly describing the algorithm used for training, and how it scales to large networks and datasets. Another point that would deserve further discussion is how the hyper-parameter search is performed ( not using test data I assume), and how the compared methods dealt with the search over hyper-parameters to determine the accuracy-compression tradeoff. Ideally, I think, methods should be evaluated across different points on this trade-off.","['3', '4', '3']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[4, 13, 18]","[10, 19, 24]","[21, 21, 391]","[8, 10, 190]","[12, 9, 167]","[1, 2, 34]"
Sparsely-Connected Neural Networks: Towards Efficient VLSI Implementation of Deep Neural Networks,Accept,2017,"['Arash Ardakani', 'Carlo Condo', 'Warren J. Gross']","[7, 6, 6]","['Good paper, accept', 'Marginally above acceptance threshold', 'Marginally above acceptance threshold']","Experimental results look reasonable, validated on 3 tasks. References could be improved, for example I would rather see Rumelhart*s paper cited for back-propagation than the Deep Learning book.","['3', '4', '3']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[5, 7, 20]","[11, 13, 26]","[32, 98, 329]","[17, 38, 135]","[8, 32, 76]","[7, 28, 118]"
Steerable CNNs,Accept,2017,"['Taco S. Cohen', 'Max Welling']","[6, 7, 8]","['Marginally above acceptance threshold', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","This paper presents a theoretical treatment of transformation groups applied to convnets, and presents some empirical results showing more efficient usage of network parameters. The basic idea of steerability makes huge sense and seems like a very important idea to develop. It is also a very old idea in image processing and goes back to Simoncelli, Freeman, Adelson, as well as Perona/Greenspan and others in the early 1990s. This paper approaches it through a formal treatment of group theory. But at the end of the day the idea seems pretty simple - the feature representation of a transformed image should be equivalent to a transformed feature representation of the original image. Given that the authors are limiting their analysis to discrete groups - for example rotations of 0, 90, 180, and 270 deg. - the formalities brought in from the group theoretic analysis seem a bit overkill. I*m not sure what this buys us in the end. it seems the real challenge lies in implementing continuous transformations, so if the theory could guide us in that direction it would be immensely helpful. Also the description of the experiments is fairly opaque. I would have a hard time replicating what exactly the authors did here in terms of implementing capsules or transformation groups.","['3', '4', '3']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[-1, -1, 1]","[4, 4, 6]","[8, 6, 21]","[4, 3, 9]","[4, 3, 12]","[0, 0, 0]"
Stick-Breaking Variational Autoencoders,Accept,2017,"['Eric Nalisnick', 'Padhraic Smyth']","[8, 4, 8]","['Top 50% of accepted papers, clear accept', 'Ok but not good enough - rejection', 'Top 50% of accepted papers, clear accept']","This paper presents an approach which modifies the variational auto-encoder (VAE) framework so as to use stochastic latent dimensionality. This is achieved by using an inherently infinite prior, the stick-breaking process. This is coupled with inference tailored to this model, specifically the Kumaraswamy distribution as an approximate variational posterior. The resulting model is named the SB-VAE which also has a semi-supervised extension, in similar vein to the original VAE paper. There*s a lot of interest in VAEs these days; many lines of work seek to achieve automatic *black-box* inference in these models. For example, the authors themselves mention parallel work by Blei*s lab (also others) towards this direction. However, there*s a lot of merit in investigating more bespoke solutions to new models, which is what the authors are doing in this paper. Indeed, a (useful) side-effect of providing efficient inference for the SB-VAE is drawing attention to the use of the Kumaraswamy distribution which hasn*t been popular in ML. Although the paper is in general well structured, I found it confusing at parts. I think the major source of confusion comes from the fact that the model specification and model inference are discussed in a somehow mixed manner. The pre-review questions clarified most parts. I have two main concerns regarding the methodology and motivation of this paper. Firstly, conditioning the model directly on the stick-breaking weights seems a little odd. I initially thought that there was some mixture probabilistic model involved, but this is not the case. To be fair, the authors discuss about this issue (which became clearer to me after the pre-review questions), and explain that they*re investigating the apparently challenging problem of using a base distribution G_0. The question is whether their relaxation is still useful. From the experiments it seems that the method is at least competitive, so the answer is yes. Hopefully an extension will come in the future, as the authors mention. The second concern is about the motivation of this method. It seems that the paper fails to clearly explain in a convincing way why it is beneficial to reformulate the VAE as a SB-VAE. I understand that the non-parametric property induced by the prior might result in better capacity control, however I feel that this advantage (and potentially others which are still unclear to me) is not sufficiently explained and demonstrated. Perhaps some comparison with a dropout approach or a more thorough discussion related to dropout would make this clearer. Overall, I found this to be an interesting paper, it would be a good fit for ICLR.","['4', '4', '5']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[5, 30]","[10, 36]","[38, 216]","[19, 129]","[18, 29]","[1, 58]"
